event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX takes PersonY view,"[""none"", ""are talk more confidently"", ""seeks to collaborate with PersonX""]","[""none"", ""none""]","[""to not have to listen to him"", ""to avoid him"", ""Include X into their group"", ""Stop arguing""]","[""empathetic"", ""sympathetic"", ""empathetic"", ""skilful""]","[""none"", ""talks confidently"", ""seeks to unite with PersonY""]","[""the same view"", ""to saw the same thing"", ""to have his own perspetives""]","[""find person Y"", ""to go home"", ""none""]","[""happy because of the view"", ""content""]","[""share that view"", ""reconsider other things"", ""to follow what Y tells"", ""to stop any more arguing.""]","[""takes"", ""view""]",tst
PersonX takes PersonY word,"[""none"", ""none""]","[""trustworthy""]","[""defend themselves"", ""disprove"", ""to follow thru"", ""finish it"", ""to continue talking to PersonX"", ""to part ways""]","[""faithful"", ""trusting"", ""trustworthy"", ""lenient"", ""Trusting"", ""Unintelligent""]","[""is confused by what he heard"", ""has doubts about the situation"", ""they are misinformed"", ""they miss an event""]","[""to trust persony""]","[""listen to PersonY"", ""be suspicious"", ""none"", ""to listen to PersonY"", ""to converse with PersonY""]","[""trusting""]","[""investigate"", ""give advice"", ""to trust them"", ""move on"", ""to ask PersonY questions"", ""to move on""]","[""takes"", ""word""]",trn
PersonX takes PersonY word for it,"[""none"", ""Y trusts X."", ""Y thanks X for believing them."", ""Person Y tries to tell Person X more lies."", ""Person Y smiles with content.""]","[""relieved"", ""trusted"", ""sad"", ""none""]","[""none"", ""none""]","[""trusting"", ""naive"", ""trusting"", ""gullible"", ""trusting"", ""optimistic""]","[""none"", ""Person X trusts Y."", ""Person X acts on Y's statement."", ""Person X regrets he believed Person Y."", ""Person X starts to take the path suggested by Person Y.""]","[""understanding"", ""trusting"", ""to be away"", ""to be unconfrontational""]","[""none"", ""none""]","[""relieved"", ""calm"", ""happy"", ""in control""]","[""to check out the facts of what PersonY said while alone, so that they can validate on their own what PersonY said"", ""to question others behind PersonY's back about the facts PersonY told them"", ""communicate"", ""believe someone""]","[""takes"", ""word""]",trn
PersonX takes PersonY's ___ away,"[""PersonY is upset at PersonX"", ""PersonY can no longer use an item"", ""none""]","[""robbed"", ""upset"", ""wronged"", ""upset""]","[""Feel shame"", ""Feel sadness"", ""take PersonX to court"", ""ask to share custody"", ""to get it back"", ""to accept the loss""]","[""benevolent"", ""judicial"", ""a leader"", ""powerful"", ""bossy"", ""mean"", ""cruel""]","[""none"", ""become independent"", ""get away from trouble""]","[""something person y has"", ""to be mean"", ""to hurt persony""]","[""Make decision"", ""Tell PersonY"", ""get divorced"", ""get permission from the spouse"", ""to get the object"", ""to take ownership""]","[""like they have something"", ""nan"", ""in control"", ""powerful""]","[""Feel satisfaction"", ""Go home"", ""to have the kids live with him"", ""to the kids go to the school near his house"", ""to hide it"", ""to keep it"", ""to use it"", ""to give it back""]","[""takes"", ""away""]",trn
PersonX takes PersonY's ___ seriously,"[""Teaches PersonX"", ""Makes a report for PersonX"", ""personY gains a new friend"", ""personY respects X"", ""none""]","[""grateful"", ""supported"", ""happy"", ""closer to x""]","[""to express gratitude"", ""to continue talking to PersonX"", ""to listen to PersonX"", ""to decide whether PersonX is worth taking seriously"", ""vent problems"", ""cry""]","[""sensitive"", ""respectful"", ""curious"", ""reflective""]","[""learns a lot"", ""appreciates PersonY"", ""their friendship grows"", ""they have a newfound trust"", ""person x gets a raise"", ""person x is rewarded""]","[""accepted"", ""supportive"", ""to be closer to y""]","[""to spend time with PersonY"", ""to listen to what PersonY has to say"", ""to listen to PersonY"", ""to take the time to understand PersonY"", ""learn about PersonY"", ""listen to PersonY's problems""]","[""good"", ""happy"", ""closer to y""]","[""to continue to listen to PersonY"", ""to talk to PersonY"", ""to give advice to PersonY"", ""to be careful of what they say to PersonY"", ""give advice"", ""find an excuse to leave""]","[""takes"", ""seriously""]",dev
PersonX takes PersonY's advice,"[""none"", ""none""]","[""useful"", ""needed"", ""good that they helped someone make a good decision"", ""proud for giving advice.""]","[""to help out"", ""to see them succeed"", ""to continue helping PersonX"", ""to follow up with PersonX"", ""to help personx"", ""to aid personx""]","[""convinced"", ""understanding"", ""cautious"", ""intelligent"", ""willing to learn""]","[""Gets a better outcome"", ""Tells Y what happened"", ""person x uses adivce"", ""person x leaves school""]","[""to solve problem"", ""do the correct thing"", ""to make a decision""]","[""to trust Y"", ""to ask for advice"", ""to listen to PersonY"", ""to converse with PersonY"", ""to receive advice from persony"", ""to be suggested something by persony""]","[""relieved"", ""humble"", ""better because she knows what is the best thing to do now."", ""relieved for having made a decision.""]","[""to weigh pros and cons"", ""to hope for the best"", ""to carry out the advice"", ""to ask for more advice"", ""to better themselves"", ""to work harder""]","[""takes"", ""advice""]",dev
PersonX takes PersonY's allowance,"[""is broke"", ""they cry"", ""complains"", ""cries"", ""asks to get another chance"", ""asks for what to do to get the allowance back""]","[""upset broke"", ""sad"", ""robbed"", ""angry"", ""mistreated"", ""frustrated""]","[""to search for the missing money"", ""to ask x about the money"", ""get their money back"", ""get help"", ""go to an adult""]","[""selfish"", ""dishonest"", ""mean"", ""bully"", ""greedy"", ""acquisative""]","[""gets punished"", ""gets beat up"", ""hides the allowance"", ""gives the allowance back"", ""teaches PersonY a lesson"", ""wants PersonY to do chores""]","[""money"", ""money"", ""to have money"", ""to anger person y""]","[""to distract y"", ""to formulate a plan"", ""know where it is"", ""act quickly"", ""bully PersonY""]","[""happy"", ""guilty"", ""happy""]","[""to hide or slink away in secret"", ""to spend the money"", ""spend the money"", ""taunt PersonY"", ""get away with it""]","[""takes"", ""allowance""]",trn
PersonX takes PersonY's anger,"[""none"", ""none""]","[""tired of being angry"", ""less angry.""]","[""to be ore angry"", ""to hit personX"", ""Try to relax and calm down"", ""Go do something to take their mind of whatever is angering them""]","[""humble"", ""patient"", ""calming"", ""soothing"", ""charitable"", ""Concerned"", ""Giver""]","[""earache"", ""headache"", ""PersonX accepts the blame"", ""PersonX bows their head in shame""]","[""none"", ""to stay friends.""]","[""none"", ""none""]","[""upset"", ""misunderstood.""]","[""to fight the anger"", ""to lash out"", ""Needs to calm down PersonY"", ""Should take PersonY for a relaxing event""]","[""takes"", ""anger""]",trn
PersonX takes PersonY's arm,"[""flirts back"", ""kisses person x"", ""hurt"", ""hospitalized"", ""talks to a friend"", ""follows someone""]","[""clear as to how x feels about them"", ""like they are being lead"", ""touched""]","[""smack hand"", ""look at PersonX"", ""to follow PersonX"", ""to push PersonX away""]","[""helpful"", ""romantic"", ""aggressive"", ""dominant"", ""engaging"", ""social""]","[""leans in for a kiss"", ""starts to flirt"", ""arrested"", ""jailed"", ""leads someone to the exit"", ""chats with a friend""]","[""to exprees  his love for person"", ""to lead them somewhere"", ""to touch this person""]","[""lift hand"", ""walk up to PersonY"", ""to approach PersonY"", ""to extend the hand""]","[""satisfied in life"", ""confident"", ""safe""]","[""yank"", ""massage"", ""to lead PersonY somewhere"", ""to let go of the arm""]","[""takes"", ""arm""]",trn
PersonX takes PersonY's baby,"[""screams"", ""cries"", ""loses hope"", ""is filled with gratitude"", ""none""]","[""delighted"", ""frightened"", ""grateful."", ""hostile"", ""angry"", ""terrified""]","[""to relax"", ""to be able to trust baby is safe"", ""to take a break"", ""to catch their breath"", ""to thank PersonX"", ""to ask for the baby back""]","[""forceful"", ""violent"", ""helpful"", ""mean"", ""responsible"", ""helpful""]","[""goes to prison"", ""commits a crime"", ""gets sent to jail"", ""gets thanked"", ""making fun"", ""playing"", ""feed milk"", ""help friend""]","[""to help person y"", ""to have the baby for their own"", ""to take care of the baby while person y is in prison."", ""to be a felon"", ""to go to jail""]","[""access to baby"", ""permission"", ""none"", ""to find the baby"", ""to ask to hold the baby""]","[""happy to help"", ""guilty for kidnapping"", ""good."", ""mischieveous"", ""evil""]","[""to give PersonY a break"", ""to engage with baby"", ""to babysit"", ""to take the baby home"", ""to give the baby back"", ""to hold the baby""]","[""takes"", ""baby""]",trn
PersonX takes PersonY's back,"[""none"", ""none""]","[""good to have a nice friend backing them"", ""none"", ""confident""]","[""thank PersonX"", ""confront the problem"", ""none"", ""to talk to PersonX"", ""to relax and go out somewhere""]","[""kind"", ""considerate"", ""uncertain"", ""undecided"", ""dominant"", ""persuasive""]","[""none"", ""none""]","[""to be nice"", ""to be a caregiver"", ""the person back"", ""to be helpful"", ""to assist""]","[""stand up for PersonY"", ""become friends with PersonY"", ""to receive something from person Y"", ""to decide the item is unwanted"", ""none""]","[""great for helping"", ""worried"", ""happy"", ""helpful""]","[""have an argument"", ""comfort PersonY"", ""to get a different item"", ""to pay for the new item"", ""to reassure PersonY"", ""to relax and get a drink""]","[""takes"", ""back""]",trn
PersonX takes PersonY's belongings,"[""gets mad"", ""feels victimized"", ""goes to police"", ""runs after personx""]","[""robbed"", ""good for being able to give somethings they didint' need"", ""thankful"", ""relieved""]","[""to track down PersonX"", ""to get their stuff back"", ""to call the cops"", ""to hit personx"", ""to ask PersonX to take a just a few"", ""to call the police""]","[""distrustful"", ""selfish"", ""possessive"", ""criminal"", ""Mean"", ""Wrong""]","[""gets in trouble"", ""gets beat up"", ""gets arrested"", ""gets beaten up""]","[""to steal his stuff"", ""to get a gift from a friend"", ""to give it to persony who is at the hospital"", ""to do what is asked for""]","[""none"", ""none"", ""to have asked PersonY"", ""to be a professional thief"", ""to be working for a transport company""]","[""mischevious"", ""good he has some things he needs"", ""helpful""]","[""to give the belongings back"", ""to sell the belongings"", ""to use the belongings"", ""to make persony mad"", ""to have stuff that isnt his"", ""to ask PersonY if they need to make another trip"", ""to hide"", ""to sell all the belongings on Ebay""]","[""takes"", ""belongings""]",trn
PersonX takes PersonY's bike,"[""He can't go in the park"", ""He does something else for fun"", ""PersonY loses a bike"", ""PersonY cries"", ""PersonY screams in anger""]","[""bad"", ""none"", ""helping""]","[""their bike back"", ""call the cops"", ""to keep an eye on PersonX"", ""to tell PersonX by when to return it"", ""to ask PersonX how the ride was"", ""to thank PersonX for returning the bike""]","[""greedy"", ""thieving"", ""greedy"", ""immoral""]","[""none"", ""PersonX commits a crime"", ""PersonX is arrested""]","[""have transportation"", ""to go for a ride"", ""to ride it""]","[""shoes"", ""time"", ""to know how to fix a bike"", ""to borrow it from PersonY"", ""to exercise"", ""to borrow the bike""]","[""happy"", ""tired out"", ""happy"", ""grateful""]","[""to ride it"", ""sell it"", ""to sell the bike"", ""to ride the  bike to the store"", ""to go around town"", ""to return the bike""]","[""takes"", ""bike""]",trn
PersonX takes PersonY's boat,"[""gets insurance money"", ""loses a friend"", ""is mad at X"", ""yells at X"", ""none""]","[""charitable"", ""angry"", ""upset"", ""unhappy"", ""sad upset mad angry""]","[""for them to have fun"", ""to hear about the trip"", ""person x to thank them"", ""boat to be undamaged"", ""none""]","[""adventurous"", ""dutiful"", ""persuasive"", ""skillful"", ""dishonest"", ""mean""]","[""gets wet"", ""gets marooned"", ""gets yelled at"", ""gets called by Y"", ""chased after"", ""gets accused of theft""]","[""to have it"", ""to go for a ride"", ""to float down the river"", ""to have the boat for themselves"", ""mean and to make money""]","[""to of asked for it"", ""to be given permission to use it"", ""to get person y's permission"", ""go to the boat location"", ""access to the boat"", ""to take away""]","[""adventurous"", ""guilty"", ""happy"", ""accomplished"", ""happy lucky determined""]","[""to find a good place to fish"", ""to catch a big fish"", ""sail the ocean"", ""fish"", ""swim"", ""sun bathe"", ""to go out to sea"", ""to join persony""]","[""takes"", ""boat""]",trn
